"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"DIP-8_W7.62mm";1;"ATTINY85-20PU";;;
2;"D1";"LED_D3.0mm_FlatTop";1;"LED";;;
3;"LS1";"BUZZER";1;"Speaker";;;
4;"J_Aligator1,J3,J4,J_Aligator5,J_Aligator2,J_Aligator3,J2,J_Aligator4";"Lock_Aligator";8;"CONN_01X01";;;
5;"Coconut";"Coconut_Logo_small_Mask";1;"LOGO";;;
6;"SW1";"TACTILE-PTH_6mm";1;"SW_Push";;;
7;"J1";"AUDIO-JACK-KIT_renamedPins";1;"JACK_TRS_6PINS";;;
8;"C1,C2";"Capacitor";2;"100nF";;;
9;"BT1";"Bat_connector+-";1;"Battery_Cell";;;
10;"J5";"USB_Micro-B";1;"USB_OTG";;;
11;"J-USB1";"Socket_Strip_USB";1;"CONN_01X05";;;
12;"R2,R3,R1";"Resistor_SMD+THTuniversal";3;"22K";;;
13;"R5,R6";"Resistor_SMD+THTuniversal_OneSided";2;"68";;;
14;"R4";"Resistor_SMD+THTuniversal";1;"330";;;
15;"D3,D2";"D_Zener_handsoldering";2;"D_Zener 3.3V";;;
16;"R7";"Resistor_SMD+THTuniversal_OneSided";1;"1.5K";;;
17;"SW2";"Push_SWITCH-Square";1;"SW_SPST";;;
18;"";"Silk_weird";1;"";;;
